country,date,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation
Mexico,2012-07-01,37.0,13.687,2.7032950975378096,8.54997111496245,-37.53217567792467
Mexico,2013-01-01,37.0,12.7384,2.904603403881178,8.471867770171967,-33.4934703716953
Mexico,2013-07-01,37.0,12.94115,2.859096757243367,8.119970738844184,-37.25464322070153
Mexico,2014-01-01,37.0,13.33275,2.7751214115617557,8.001441701207424,-39.986561653016636
Mexico,2014-07-01,42.0,12.93255,3.24761937900878,8.75912408759124,-32.27071159522878
Mexico,2015-01-01,49.0,14.6275,3.3498547256879165,10.22964509394572,-30.065663346807582
Mexico,2015-07-01,49.0,15.73975,3.113137120983497,10.22964509394572,-35.00757576234871
Mexico,2016-01-01,49.0,17.43675,2.8101567092491435,9.939148073022313,-42.998849710970724
Netherlands,2011-07-01,3.25,0.6975203152791825,4.6593625,0.7995079950799507,14.621463714637152
Netherlands,2012-01-01,3.25,0.7882394671501202,4.1231125,0.7743220512625024,-1.765632966582631
Netherlands,2012-07-01,3.38,0.8248443106363673,4.097743,0.78105141536684,-5.309231658001146
Netherlands,2013-01-01,3.45,0.736946829286267,4.681477500000001,0.7899444272187374,7.191509051446565
Netherlands,2013-07-01,3.45,0.7777561734396267,4.4358375,0.7571324067300659,-2.651700804681778
Netherlands,2014-01-01,3.45,0.7372184746949759,4.6797525,0.746080374842314,1.202072445485669
Netherlands,2014-07-01,3.45,0.7427489137297137,4.6449074999999995,0.7194994786235662,-3.1301876955161734
Netherlands,2015-01-01,3.45,0.8630734043930437,3.9973425,0.7202505219206681,-16.548173277661803
Netherlands,2015-07-01,3.45,0.9127002236115548,3.7799925,0.7202505219206681,-21.085751565762003
Netherlands,2016-01-01,3.45,0.9302325581395349,3.70875,0.6997971602434078,-24.77180527383367
New Zealand,2000-04-01,3.4,2.01,1.69,1.354581673306773,-32.607876949911784
New Zealand,2001-04-01,3.6,2.47,1.46,1.4173228346456692,-42.61850871879882
New Zealand,2002-04-01,3.6,2.24,1.77,1.4457831325301205,-35.45611015490534
New Zealand,2003-04-01,3.95,1.78,2.15,1.4575645756457565,-18.114349682822674
New Zealand,2004-05-01,4.35,1.64,2.65,1.5,-8.536585365853655
New Zealand,2005-06-01,4.45,1.4023,3.1733580546245452,1.4542483660130718,3.704511589037418
New Zealand,2006-01-01,4.45,1.4467,3.0759659915670143,1.4126984126984128,-2.3502859819995336
New Zealand,2006-05-01,4.45,1.62101,2.745202065378992,1.435483870967742,-11.4450946651938
New Zealand,2007-01-01,4.6,1.42796,3.221378750105045,1.4285714285714284,0.04281832624362103
New Zealand,2007-06-01,4.6,1.2797,3.594592482613112,1.348973607038123,5.413269284842004
New Zealand,2008-06-01,4.9,1.3177,3.7186005919405023,1.3725490196078434,4.162481566960863
New Zealand,2009-07-01,4.9,1.59235,3.0772129242942823,1.3725490196078434,-13.803559543577515
New Zealand,2010-01-01,4.9,1.35685,3.6113055975236765,1.3687150837988828,0.8744580313876149
New Zealand,2010-07-01,5.0,1.392757660167131,3.59,1.3392857142857142,-3.839285714285723
New Zealand,2011-07-01,5.1,1.1560693641618498,4.411499999999999,1.2546125461254611,8.523985239852383
New Zealand,2012-01-01,5.1,1.26000126000126,4.0476149999999995,1.2150899881350037,-3.564383091665435
New Zealand,2012-07-01,5.1,1.273560876209883,4.004519999999999,1.1785095320623917,-7.463431542461008
New Zealand,2013-01-01,5.2,1.2024289063909097,4.32458,1.190640875807952,-0.9803515634316695
New Zealand,2013-07-01,5.5,1.2793449753726094,4.299074999999999,1.207022677395757,-5.653072421360661
New Zealand,2014-01-01,5.5,1.2030075187969924,4.571875,1.189403496125428,-1.1308343845737867
New Zealand,2014-07-01,5.7,1.1527377521613833,4.94475,1.18873826903024,3.1230448383733123
New Zealand,2015-01-01,5.9,1.3132838663077024,4.492555,1.2317327766179542,-6.209707724425884
New Zealand,2015-07-01,5.9,1.5090922809929828,3.909635,1.2317327766179542,-18.37922755741127
New Zealand,2016-01-01,5.9,1.5080681646810434,3.9122900000000005,1.1967545638945234,-20.643204868154143
Norway,2002-04-01,35.0,8.56,4.09,14.056224899598392,64.20823480839242
Norway,2004-05-01,35.5,6.8491,5.183162751310391,12.241379310344827,78.7297500451859
Norway,2005-06-01,39.0,6.4326,6.062867269844231,12.745098039215685,98.13291731517093
Norway,2006-05-01,43.0,6.1023,7.046523441980893,13.870967741935484,127.30720780583526
Norway,2007-01-01,41.5,6.1023,6.80071448470249,12.888198757763975,111.20231318951829
Norway,2007-06-01,40.0,5.8139,6.880063296582328,11.730205278592376,101.76138699654919
